,Pais,Continente,Escalón más alto,Cantidad de Escalones,Total satélites,Total Instrumentos,PesoTotal
0,Argentina,America del Sur,11,4,8,78,14217.0
1,Brasil,America del Sur,8,4,33,1062,109408.0
2,Bolivia,America del Sur,8,2,1,30,5100.0
3,Chile,America del Sur,7,4,3,6,182.0
4,Colombia,America del Sur,5,3,2,4,3.0
5,Ecuador,America del Sur,7,3,4,4,7.4
6,Paraguay,America del Sur,7,2,1,1,1.3
7,Perú,America del Sur,7,4,4,6,403.71
8,Uruguay,America del Sur,7,1,1,3,2.0
9,Venezuela,America del Sur,8,4,3,34,6930.0
10,México,Resto America,8,3,13,422,36957.7
11,Turquía,Europa,8,4,10,52,21352.0
12,Costa Rica,Resto America,7,1,1,1,1.0
13,Sudáfrica,Africa,7,2,5,17,0.0
14,Arabia Saudita,Asia Central,8,4,18,354,29330.0
15,Tailandia,Asia,8,4,9,256,21005.3
16,Bulgaria,Europa,8,3,2,35,
17,Egipto,Africa,8,4,8,7,7239.0
18,Grecia,Europa,8,2,6,173,15580.0
19,Indonesia ,Asia,8,4,20,637,40470.0
20,Irán,Asia Central,7,2,6,4,307.0
21,Kazajistán,Asia Central,8,4,6,69,5161.0
22,Ucrania,Europa,7,2,5,30,8584.0
23,Nigeria,Africa,8,4,5,71,10800.0
24,Guatemala,Resto America,3,1,1,1,1.0
25,Vietnam,Asia,8,4,5,47,5771.0
26,Corea del Sur,Asia,8,4,15,309,33942.0
27,Malasia,Asia,8,3,4,121,13229.0
28,Filipinas,Asia,8,2,2,219,3825.0
29,Singapur,Asia,8,2,8,7,22282.0
30,Argelia,Africa,8,3,5,37,5644.0
31,Emiratos Árabes Unidos,Asia Central,8,2,6,548,31322.0
32,Israel,Asia Central,11,5,9,101,17167.0
33,Canadá,Resto America,8,4,27,791,70735.0
